,yoji,j1,j1_Meanings,j1_Readings,j2,j2_Meanings,j2_Readings,j3,j3_Meanings,j3_Readings,j4,j4_Meanings,j4_Readings,j12,j12_Meanings,j12_Readings,j34,j34_Meanings,j34_Readings
0,事膝采中,事,"[' thing/matter incident/occurrence/event/something serious/trouble/crisis circumstances/situation/state of affairs work/business/affair after an inflectable word, creates a noun phrase indicating something the speaker does not feel close to nominalizing suffix pretending to .../playing make-believe ... alias/aka/nickname/alternative name/also known as,', ' individual concrete phenomenon (as opposed to a general principle),', ' nominalizing suffix pretending to .../playing make-believe ...]']","['こと', 'じ', 'ごと']",膝,[' knee lap/knee and thigh (while sitting)]'],['ひざ'],采,[' dice/die baton (of command)]'],['さい'],中,"[' inside/in among/within center (centre)/middle during/while,', "" inside/within while among/amongst/between we (referring to one's in-group, e.g. company, etc.)/our my spouse imperial palace grounds emperor I (primarily used by women and children)/me,"", ' medium/average/middle moderation middle school China volume two (of three) during (a certain time when one did or is doing something)/under (construction, etc.)/while in/out of (e.g. three out of ten people),', ' through/throughout/in the course of all over or throughout (e.g. a place), チュン', ' red dragon tile winning hand with a pung (or kong) of red dragon tiles]']","['なか', 'うち', 'ちゅう', 'じゅう']",事膝,,,采中,,
1,倉潮久弓,倉,[' warehouse/storehouse/cellar/magazine/granary/godown/depository/treasury/elevator]'],['くら'],潮,[' tide/current salt water opportunity]'],['しお'],久,[],[],弓,"[' bow (and arrow) archery bow (for a violin, etc.),', ' bow (and arrow) unit of distance to an archery target (approx. six feet) unit of distance for land surveying (approx. eight feet),', ' bow (and arrow; esp. of a noble)]']","['ゆみ', 'きゅう', 'たらし']",倉潮,,,久弓,,
2,拠文町次,拠,[' grounds/foundation/authority support/prop/something upon which to rely]'],"['よりどころ', 'り']",文,"[' letter/writings,', ' sentence composition/text/writings the literary arts (as opposed to the military arts)/academia/literature,', "" figure/design twill weave/pattern of diagonal stripes style (of writing)/figure (of speech) design/plot/plan minor market fluctuation/technical correction cat's cradle lease rod (in a loom),"", ' one-thousandth of a kan (obsolete unit of currency)4 cm (traditional unit used to measure shoe sizes) letter/character/sentence scripture/incantation]']","['ふみ', 'ぶん', 'あや', 'もん']",町,[' town/block/neighbourhood/neighborhood street/road 109.09 m99 hectares downtown/main street]'],['まち'],次,"[' next/following/subsequent stage/station,', ' next hypo- (i.e. containing an element with low valence) order/sequence/time/times]']","['つぎ', 'じ']",拠文,,,町次,,
3,扇不那中,扇,[' folding fan]'],['おうぎ'],不,"[' un-/non-/negative prefix,', ' un-/non- bad .../poor ...]']","['ふ', 'ぶ']",那,[],[],中,"[' inside/in among/within center (centre)/middle during/while,', "" inside/within while among/amongst/between we (referring to one's in-group, e.g. company, etc.)/our my spouse imperial palace grounds emperor I (primarily used by women and children)/me,"", ' medium/average/middle moderation middle school China volume two (of three) during (a certain time when one did or is doing something)/under (construction, etc.)/while in/out of (e.g. three out of ten people),', ' through/throughout/in the course of all over or throughout (e.g. a place), チュン', ' red dragon tile winning hand with a pung (or kong) of red dragon tiles]']","['なか', 'うち', 'ちゅう', 'じゅう']",扇不,,,那中,,
4,両近怱分,両,"[' both (e.g. both shoulders, etc.) ryo (obsolete unit of currency) 41-42 g (one sixteenth of a kin) 2 tan (measure of fabric size) counter for carriages (e.g. in a train)/counter for vehicles,', ' both many/various/all together,', ' two]']","['りょう', 'もろ', 'りゃん']",近,[],[],怱,[],[],分,"[' minute fun (one tenth of a monme,787 grains),', ' one-tenth/one percent (one-tenth of a wari)/3 mm (one-tenth of a sun)/2.4 mm (one-tenth of a mon, a traditional unit used to measure shoe sizes)/0.1 degree (one-tenth of a do, used to measure body temperature on any temperature scale) one-quarter of a ryou (obsolete unit of currency) thickness advantageous circumstances one-tenth of a monme of silver,', "" part/segment/share/ration rate degree/one's lot/one's status/relation/duty/kind/lot in proportion to/just as much as]""]","['ふん', 'ぶ', 'ぶん']",両近,,,怱分,,
5,子入裂兵,子,"[' child young (animal) young woman/young geisha offshoot interest new shares player who is not a dealer (in cards, mahjong, etc.) bird egg -er (often of young women),', ' first sign of Chinese zodiac (The Rat, 11pm-1am, north, November),', ' fruit/nut seed (in broth) pieces of meat, vegetable, etc. content/substance,', "" child (esp. a boy) viscount master (founder of a school of thought, esp. Confucius) philosophy (branch of Chinese literature)/non-Confucian Hundred Schools of Thought writings you (of one's equals) -er (i.e. a man who spends all his time doing...),"", ' honorific (or familiar) suffix used after a name,', ' child interest]']","['こ', 'ね', 'み', 'し', 'す', 'こう']",入,"[' entering setting (of the sun) containing/content/audience income beginning,', ' counter for soakings (of fabric in a dye)]']","['いり', 'り', 'しお']",裂,[],[],兵,"[' war/battle/campaign/fight troops/forces,', ' (common) soldier/rank and file army/troops warfare/strategy,', ' warrior/soldier courageous person/strong person]']","['いくさ', 'へい', 'つわもの']",子入,,,裂兵,,
6,算休目発,算,[' divining sticks counting/calculation]'],['さん'],休,[],[],目,"[' eye/eyeball eyesight/sight/vision look/stare/glance an experience viewpoint stitch/texture/weave ordinal number suffix somewhat/-ish,', ' order item (of a budget revision, etc.) counter for go pieces/counter for surrounded positions (in go)]']","['め', 'もく']",発,"[' departure/departing (from ...)/departing (at time ...) sending/sent (by ...)/sent (at ...) engine green dragon tile counter for gunshots, bursts of gas, etc./counter for bullets, bombs, etc./counter for blows (punches)]']",['はつ'],算休,,,目発,,
7,調知車軽,調,"[' pitch/tone/key time/tempo mood/tendency/style tax paid in kind (ritsuryo period)/first a tax on rice fields and households, then on individuals]']",['ちょう'],知,[' wisdom jnana (higher knowledge)]'],['ち'],車,"[' car/automobile/vehicle wheel,', ' car/vehicle]']","['くるま', 'しゃ']",軽,"[' light (e.g. vehicle, aircraft, etc.)]']",['けい'],調知,,,車軽,,
8,面軻漏明,面,"[' face surface mask (esp. a noh or kyogen mask),', ' face/mug surface surrounding area cheek/cheeks,', ' face mask/face guard (in kendo) striking the head surface (esp. a geometrical surface) page aspect/facet/side chamfer counter for broad, flat objects, levels or stages, e.g. in a video game,', ' looking like a .../acting as if a ....]']","['おもて', 'つら', 'めん', 'づら']",軻,[],[],漏,[],[],明,"[' vidya (wisdom) mantra the coming (4th of July, etc.),', ' brightness clarity/acumen power of vision,', ' Ming (dynasty of China, 1368-1644),', ' clearly/brightly cleanly/purely]']","['みょう', 'めい', 'みん', 'さや']",面軻,,,漏明,,
9,車行命道,車,"[' car/automobile/vehicle wheel,', ' car/vehicle]']","['くるま', 'しゃ']",行,"[' line (i.e. of text)/row/verse carya (austerities) samskara (formations) running script (a semi-cursive style of kanji),', ' going/travelling (traveling) type of classical Chinese verse (usu. an epic) district (of similar merchants)/guild bank]']","['ぎょう', 'こう']",命,"[' life/life force lifetime/lifespan most important thing/foundation/core paired tattoos of the ""life"" kanji on the upper arms of a man and woman (indicating unwavering love) fate/destiny/karma,', ' command/decree life destiny,', ' Lord/Highness you,', ' the spoken words of the emperor or a noble]']","['いのち', 'めい', 'みこと', 'みこと']",道,"[' road/street/way/path/course/route/lane distance/ways (e.g. ""a long ways"") the way (of proper conduct, etc.)/one\'s way/morals teachings (esp. Confucian or Buddhist)/dogma field (of medicine, etc.)/subject way/method/means,', ' road way Buddhist teachings Taoism modern administrative region of Japan (Hokkaido) historical administrative region of Japan (Tokaido, Tosando, etc.) province (Tang-era administrative region of China) province (modern administrative region of Korea),', ' way/road way to .../road to ...]']","['みち', 'どう', 'ち']",車行,,,命道,,
10,面思同鳳,面,"[' face surface mask (esp. a noh or kyogen mask),', ' face/mug surface surrounding area cheek/cheeks,', ' face mask/face guard (in kendo) striking the head surface (esp. a geometrical surface) page aspect/facet/side chamfer counter for broad, flat objects, levels or stages, e.g. in a video game,', ' looking like a .../acting as if a ....]']","['おもて', 'つら', 'めん', 'づら']",思,[],[],同,[' the same/the said/ibid.]'],['どう'],鳳,"[' feng (male Chinese firebird),', ' large bird peng (in Chinese mythology, giant bird said to transform from a fish) fenghuang (Chinese phoenix)]']","['ほう', 'おおとり']",面思,,,同鳳,,
11,注汰属血,注,[' annotation/explanatory note/comment]'],['ちゅう'],汰,[],[],属,[' genus generic]'],['ぞく'],血,[' blood/consanguinity]'],['ち'],注汰,,,属血,,
12,寝雨麗心,寝,"[' sleep,', ' to lie down/to go to bed/to go to sleep]']","['ね', 'ぬ']",雨,[' rain]'],['あめ'],麗,[],[],心,"[' mind/heart/spirit the meaning of a phrase (riddle, etc.),', ' heart/mind spirit/vitality/inner strength Chinese ""Heart"" constellation (one of the 28 mansions) friend]']","['こころ', 'しん']",寝雨,,,麗心,,
13,果者影行,果,"["" phala (attained state, result) enlightenment (as the fruits of one's Buddhist practice) fruit counter for pieces of fruit,"", ' end/limit/extremity,', ' progress]']","['か', 'はたて', 'たて', 'はか']",者,"[' person,', ' someone of that nature/someone doing that work]']","['もの', 'しゃ']",影,"["" shadow/silhouette/figure/shape reflection/image ominous sign light (stars, moon) trace/shadow (of one's former self)]""]",['かげ'],行,"[' line (i.e. of text)/row/verse carya (austerities) samskara (formations) running script (a semi-cursive style of kanji),', ' going/travelling (traveling) type of classical Chinese verse (usu. an epic) district (of similar merchants)/guild bank]']","['ぎょう', 'こう']",果者,,,影行,,
14,一気門奇,一,"[' one best first/foremost beginning/start bottom string (on a shamisen, etc.),', ' one for one thing only (not) even just (e.g. ""just try it""), イー', ' one,', ' most,', ' one one]']","['いち', 'ひとつ', 'つ', 'いっち', 'ひと']",気,"[' spirit/mind/heart nature/disposition motivation/intention mood/feelings ambience/atmosphere/mood,', ' seeming/giving the appearance of/giving one the feeling of,', ' -like nature/-like disposition/-ish temperament,', ' sign/indication/trace/touch/feeling somehow/for some reason/seeming to be]']","['き', 'げ', 'ぎ', 'け']",門,"[' door (esp. Japanese-style) shutter/window shutter entrance (to a home) narrows,', ' gate branch of learning based on the teachings of a single master division/phylum counter for cannons]']","['と', 'もん']",奇,[' strange/unconventional]'],['き'],一気,[' chug!/drink! (said repeatedly as a party cheer)]'],['いっき'],門奇,,
15,虻八食施,虻,[' horsefly/gadfly]'],['あぶ'],八,"[' eight, パー', ' eight]']",['はち'],食,"["" meal/(one's) diet/food/foodstuff/foodstuffs eclipse (solar, lunar, etc.)]""]",['しょく'],施,[],[],虻八,,,食施,,
16,心試縦風,心,"[' mind/heart/spirit the meaning of a phrase (riddle, etc.),', ' heart/mind spirit/vitality/inner strength Chinese ""Heart"" constellation (one of the 28 mansions) friend]']","['こころ', 'しん']",試,[],[],縦,"[' the vertical/height front-to-back/length north-to-south vertical (relationship)/hierarchy (weaving) warp,', ' selfish/self-indulgent/arbitrary,', ' even if]']","['たて', 'ほしいまま', 'よし', 'し']",風,"["" swing/shake/wave/swinging appearance/behaviour pretence (pretense)/show/pretending (to) going to restaurant, hotel etc. without a reservation or introduction move (dance)/postures lead in (e.g. to a running joke, asking a question)/lead up unsewn part of a hanging sleeve on a traditional Japanese woman's garment counter for swords, blades, etc. not wearing underwear or pants,"", ' wind/breeze/draught/draft manner/behaviour/behavior cold/influenza,', ' method/manner/way/style appearance/air tendency folk song (genre of the Shi Jing) wind (one of the five elements)]']","['ふり', 'り', 'かぜ', 'ふう']",心試,,,縦風,,
17,恩大廉題,恩,[' favour/favor/obligation/debt of gratitude]'],['おん'],大,"[' big/large,', ' the large part of big/large/great approximate size/no larger than -university large (e.g. serving size)/loud (e.g. volume setting),', ' great/grand/large greater (of equal court ranks)/upper/senior a great deal/very much,', ' greater (of equal court ranks)/upper/senior a great deal/very much]']","['おお', 'だい', 'おおき', 'き', 'おおい', 'い']",廉,"[' charge/grounds/suspicion,', ' cheap/inexpensive]']","['かど', 'れん']",題,[' title/subject/theme/topic problem (on a test)/question counter for questions (on a test)]'],['だい'],恩大,,,廉題,,
18,記尚一数,記,[' account/history/chronicle/annals/record Records of Ancient Matters]'],['き'],尚,[' furthermore/still/yet/more/still more/in addition/greater/further]'],['なお'],一,"[' one best first/foremost beginning/start bottom string (on a shamisen, etc.),', ' one for one thing only (not) even just (e.g. ""just try it""), イー', ' one,', ' most,', ' one one]']","['いち', 'ひとつ', 'つ', 'いっち', 'ひと']",数,"[' often/again and again/frequently/repeatedly,', ' number/amount,', ' several/a number of quantity/amount counting/figures/numbers number/numeral/figure grammatical number destiny/fate/course of events/trend]']","['しばしば', 'かず', 'すう']",記尚,,,一数,,
19,虫三黄気,虫,[' insect/bug/cricket/moth/worm]'],['むし'],三,"[' three tri-, サン', ' three]']",['さん'],黄,[' yellow]'],['き'],気,"[' spirit/mind/heart nature/disposition motivation/intention mood/feelings ambience/atmosphere/mood,', ' seeming/giving the appearance of/giving one the feeling of,', ' -like nature/-like disposition/-ish temperament,', ' sign/indication/trace/touch/feeling somehow/for some reason/seeming to be]']","['き', 'げ', 'ぎ', 'け']",虫三,,,黄気,,
20,中格況急,中,"[' inside/in among/within center (centre)/middle during/while,', "" inside/within while among/amongst/between we (referring to one's in-group, e.g. company, etc.)/our my spouse imperial palace grounds emperor I (primarily used by women and children)/me,"", ' medium/average/middle moderation middle school China volume two (of three) during (a certain time when one did or is doing something)/under (construction, etc.)/while in/out of (e.g. three out of ten people),', ' through/throughout/in the course of all over or throughout (e.g. a place), チュン', ' red dragon tile winning hand with a pung (or kong) of red dragon tiles]']","['なか', 'うち', 'ちゅう', 'じゅう']",格,"[' status/position/rank method/way/style rule/regulation/law grammatical case figure (syllogism),', ' amendment (of the ritsuryo)]']","['かく', 'きゃく']",況,[],[],急,[' urgent/sudden/abrupt sharp/steep/precipitous rapid/swift/fast emergency/crisis hurrying/haste (in gagaku or noh) end of a song]'],['きゅう'],中格,,,況急,,
21,正無気戒,正,"[' (logical) true/regular 10^40/ten thousand undecillion original positive/greater than zero,', ' greater (of equal court ranks)/upper/senior director (highest of the four administrative positions of the ritsuryo period)/chief exactly/precisely,', ' exact/precise]']","['せい', 'しょう', 'まさ']",無,"[' nothing/naught/nought/nil/zero un-/non-,', ' un-/non- bad .../poor ...]']","['む', 'ぶ']",気,"[' spirit/mind/heart nature/disposition motivation/intention mood/feelings ambience/atmosphere/mood,', ' seeming/giving the appearance of/giving one the feeling of,', ' -like nature/-like disposition/-ish temperament,', ' sign/indication/trace/touch/feeling somehow/for some reason/seeming to be]']","['き', 'げ', 'ぎ', 'け']",戒,[' admonition/commandment sila (precept)]'],['かい'],正無,,,気戒,,
22,路作快野,路,"[' road/street/way/path/course/route/lane distance/ways (e.g. ""a long ways"") the way (of proper conduct, etc.)/one\'s way/morals teachings (esp. Confucian or Buddhist)/dogma field (of medicine, etc.)/subject way/method/means,', "" route/road distance travelled in a day (with decade) one's ..../age ....,"", ' way/road way to .../road to ...]']","['みち', 'じ', 'ち']",作,[' work (e.g. of art)/production harvest/cultivation/farming/crop/yield technique]'],['さく'],快,[' pleasure/delight/enjoyment]'],['かい'],野,[' plain/field hidden (structural) member wild lacking a political post]'],['の'],路作,,,快野,,
23,上有雨模,上,"[' above/up/over/elder (e.g. daughter) top/summit surface/on before/previous superiority/one\'s superior (i.e. one\'s elder) on top of that/besides/what\'s more upon (further inspection, etc.)/based on (and occurring after) matters concerning.../as concerns ... since (i.e. ""for that reason"") 10. suffix indicating higher social standing 11. place of one\'s superior (i.e. the throne) 12. emperor/sovereign/shogun/daimyo 13. noblewoman (esp. the wife of a nobleman),', ' upper/upward/outer/surface/top,', ' upper reaches (of a river)/upper stream top/upper part/upper half (of the body) long ago beginning/first person of high rank (e.g. the emperor) government/imperial court imperial capital (i.e. Kyoto)/capital region (i.e. Kansai)/region (or direction of) the imperial palace head (of a table) wife/mistress (of a restaurant),', ' from the standpoint of/as a matter of (e.g. fact)/in the field of/being of the type of aboard (a ship or vehicle)/on top of/on/above first volume (e.g. book) superior quality/best/top/high class going up governmental/imperial presenting/showing ana- (medical, biol.)]']","['うえ', 'うわ', 'かみ', 'じょう']",有,"[' existence possession/having limited company,', ' bhava (becoming, existence)]']","['ゆう', 'う']",雨,[' rain]'],['あめ'],模,[' wooden printing block]'],['かたぎ'],上有,,,雨模,,
24,遠見満人,遠,[' distant]'],['とお'],見,"[' looking/viewing,', ' view (of life, etc.)/outlook]']","['み', 'けん']",満,"[' full (years, etc.) whole/all fully enough/not lacking Manchuria]']",['まん'],人,"[' -ian (e.g. Italian)/-ite (e.g. Tokyoite)/indicates nationality, race, origin, etc. -er (e.g. performer, etc.)/person working with .../indicates expertise (in a certain field) (usu. in compound words) man/person/people,', ' person,', ' man/person human being/mankind/people human (Homo sapiens)/humans as a species character/personality man of talent/true man another person/other people/others adult,', ' counter for people person]']","['じん', 'と', 'ひと', 'にん']",遠見,,,満人,,
25,棒里之生,棒,[' pole/rod/stick]'],['ぼう'],里,"["" village/hamlet countryside/country home (of one's parents, etc.)/hometown one's origins/one's upbringing/one's past,"", ' Japanese league/ri/old Japanese unit of distance, approx.927km or44 miles neighbourhood (under the ritsuryo system; orig. of 50 homes) unit of area (approx. 654m by 654m)]']","['さと', 'り']",之,"["" this (indicating an item near the speaker, the action of the speaker, or the current topic) this person (usu. indicating someone in one's in-group) now here I (me) certainly,"", ' possessive particle]']","['これ', 'れ', 'の']",生,"[' pure/undiluted/raw/crude,', ' raw/uncooked/fresh natural/as it is/unedited/unprocessed unprotected (i.e. not wearing a condom) live (i.e. not recorded) inexperienced/unpolished/green/crude impudence/sauciness unpasteurized beer/draft beer/draught beer just a little/somehow/vaguely/partially/somewhat/half-/semi- irresponsibly/half-baked 10. cash 11. tipsiness,', ' innocent/naive/unsophisticated/inexperienced/green/wet behind the ears birth-,', ' life/living I/me/myself,', ' vital/virile/lively,', ' area of thick growth (of trees, grass, etc.),', ' boiled and half-dried bonito]']","['き', 'なま', 'うぶ', 'せい', 'いく', 'ふ', 'なまり', 'り']",棒里,,,之生,,
26,勉流悪人,勉,[],[],流,"[' fashion/way/style/manner school (of thought) class/rank/rate current (electrical, water, etc.)/flow/stream,', ' exile]']","['りゅう', 'る']",悪,"[' evil/wickedness,', ' bad thing/bad person]']","['あく', 'わる']",人,"[' -ian (e.g. Italian)/-ite (e.g. Tokyoite)/indicates nationality, race, origin, etc. -er (e.g. performer, etc.)/person working with .../indicates expertise (in a certain field) (usu. in compound words) man/person/people,', ' person,', ' man/person human being/mankind/people human (Homo sapiens)/humans as a species character/personality man of talent/true man another person/other people/others adult,', ' counter for people person]']","['じん', 'と', 'ひと', 'にん']",勉流,,,悪人,[' bad person/villain/scoundrel/wrongdoer/wicked person]'],['あくにん']
27,発地者無,発,"[' departure/departing (from ...)/departing (at time ...) sending/sent (by ...)/sent (at ...) engine green dragon tile counter for gunshots, bursts of gas, etc./counter for bullets, bombs, etc./counter for blows (punches)]']",['はつ'],地,"[' earth/ground/land/soil place territory bottom (of a package, book, etc.) earth (one of the five elements),', ' earth/soil/dirt/clay/mud the earth (historically, esp. as opposed to the heavens)/the ground/the land low-quality torinoko-gami (containing mud) (period of) refraining from construction in the direction of the god of the earth (in Onmyōdō),', "" ground/land/earth/soil the region in question/the local area skin texture/fabric/material/weave base/background one's true nature narrative (i.e. descriptive part of a story) real life/actuality (in the game of go) captured territory 10. noh chorus 11. (in Japanese dance) accompaniment music 12. (in Japanese music) basic phrase (usu. repetitive) 13. base part (of multiple shamisens)]""]","['ち', 'つち', 'じ']",者,"[' person,', ' someone of that nature/someone doing that work]']","['もの', 'しゃ']",無,"[' nothing/naught/nought/nil/zero un-/non-,', ' un-/non- bad .../poor ...]']","['む', 'ぶ']",発地,,,者無,,
28,血風之所,血,[' blood/consanguinity]'],['ち'],風,"["" swing/shake/wave/swinging appearance/behaviour pretence (pretense)/show/pretending (to) going to restaurant, hotel etc. without a reservation or introduction move (dance)/postures lead in (e.g. to a running joke, asking a question)/lead up unsewn part of a hanging sleeve on a traditional Japanese woman's garment counter for swords, blades, etc. not wearing underwear or pants,"", ' wind/breeze/draught/draft manner/behaviour/behavior cold/influenza,', ' method/manner/way/style appearance/air tendency folk song (genre of the Shi Jing) wind (one of the five elements)]']","['ふり', 'り', 'かぜ', 'ふう']",之,"["" this (indicating an item near the speaker, the action of the speaker, or the current topic) this person (usu. indicating someone in one's in-group) now here I (me) certainly,"", ' possessive particle]']","['これ', 'れ', 'の']",所,"["" place/spot/scene/site address district/area/locality one's house point/aspect/side/facet passage (in text)/part space/room thing/matter whereupon/as a result 10. about to/on the verge of 11. was just doing/was in the process of doing/have just done/just finished doing,"", ' counter for places]']","['ところ', 'しょ']",血風,,,之所,,
29,思忍洒厚,思,[],[],忍,"[' endurance/forbearance/patience/self-restraint,', "" squirrel's foot fern (Davallia mariesii) Lepisorus thunbergianus (species of fern) color of clothing layers under one's overcoat (light green on blue) ancient women's hairstyle clothing patterned using squirrel's foot fern]""]","['にん', 'しのぶ']",洒,[],[],厚,[' thickness]'],['あつ'],思忍,,,洒厚,,
30,世次術趣,世,"[' world/society/age/generation,', ' counter for generations epoch]']","['よ', 'せい']",次,"[' next/following/subsequent stage/station,', ' next hypo- (i.e. containing an element with low valence) order/sequence/time/times]']","['つぎ', 'じ']",術,"[' art/technique means/way trick/trap/plot/stratagem magic,', ' way/method/means]']","['じゅつ', 'すべ']",趣,[' meaning/tenor/gist effect/influence appearance/aspect taste grace/charm/refinement]'],['おもむき'],世次,,,術趣,,
31,髪田吉補,髪,[' hair (on the head)]'],['かみ'],田,[' rice field]'],['た'],吉,[' good fortune (esp. omikuji fortune-telling result)/good luck/auspiciousness]'],['きち'],補,[' assistant .../probationary ...]'],['ほ'],髪田,,,吉補,,
32,労寸之淡,労,[' labor/labour/toil/trouble/pains/work/effort/striving]'],['ろう'],寸,[' sun (approx.03 cm)]'],['すん'],之,"["" this (indicating an item near the speaker, the action of the speaker, or the current topic) this person (usu. indicating someone in one's in-group) now here I (me) certainly,"", ' possessive particle]']","['これ', 'れ', 'の']",淡,[],[],労寸,,,之淡,,
